Competição,Rodada,Partida,Mandante,Visitante,Ingressos Disponíveis,Pagantes,Renda
BAIANO SÉRIE B PROFISSIONAL,1,1,VITÓRIA DA CONQUISTA - BA , JACOBINA EC - BA,1000,548,8320.0
BAIANO SÉRIE B PROFISSIONAL,1,2,LEONICO - BA , FLUMINENSE DE FEIRA - BA,500,100,1000.0
BAIANO SÉRIE B PROFISSIONAL,1,3,JEQUIE - BA , GRAPIUNA - BA,2508,941,18820.0
BAIANO SÉRIE B PROFISSIONAL,1,4,JUAZEIRO - BA , COLO COLO - BA,1000,82,820.0
BAIANO SÉRIE B PROFISSIONAL,1,5,UNIRB - BA , GALÍCIA - BA,1000,56,560.0
BAIANO SÉRIE B PROFISSIONAL,2,6,FLUMINENSE DE FEIRA - BA , JEQUIE - BA,1000,46,1120.0
BAIANO SÉRIE B PROFISSIONAL,2,7,GALÍCIA - BA , JUAZEIRO - BA,320,132,2640.0
BAIANO SÉRIE B PROFISSIONAL,2,8,COLO COLO - BA , VITÓRIA DA CONQUISTA - BA,3000,1104,14590.0
BAIANO SÉRIE B PROFISSIONAL,2,9,JACOBINA EC - BA , UNIRB - BA,2184,752,15040.0
BAIANO SÉRIE B PROFISSIONAL,2,10,GRAPIUNA - BA , LEONICO - BA,300,35,440.0
BAIANO SÉRIE B PROFISSIONAL,3,11,LEONICO - BA , GALÍCIA - BA,300,90,900.0
BAIANO SÉRIE B PROFISSIONAL,3,12,JEQUIE - BA , COLO COLO - BA,2008,727,14540.0
BAIANO SÉRIE B PROFISSIONAL,3,13,JUAZEIRO - BA , VITÓRIA DA CONQUISTA - BA,410,67,670.0
BAIANO SÉRIE B PROFISSIONAL,3,14,UNIRB - BA , FLUMINENSE DE FEIRA - BA,1000,379,3790.0
BAIANO SÉRIE B PROFISSIONAL,3,15,GRAPIUNA - BA , JACOBINA EC - BA,300,64,640.0
BAIANO SÉRIE B PROFISSIONAL,4,16,GALÍCIA - BA , GRAPIUNA - BA,500,136,2240.0
BAIANO SÉRIE B PROFISSIONAL,4,17,VITÓRIA DA CONQUISTA - BA , UNIRB - BA,1550,830,11180.0
BAIANO SÉRIE B PROFISSIONAL,4,18,JACOBINA EC - BA , JEQUIE - BA,2184,594,12080.0
BAIANO SÉRIE B PROFISSIONAL,4,19,COLO COLO - BA , LEONICO - BA,3000,397,5600.0
BAIANO SÉRIE B PROFISSIONAL,4,20,FLUMINENSE DE FEIRA - BA , JUAZEIRO - BA,3550,2075,42700.0
BAIANO SÉRIE B PROFISSIONAL,5,21,JEQUIE - BA , UNIRB - BA,2008,884,17680.0
BAIANO SÉRIE B PROFISSIONAL,5,22,VITÓRIA DA CONQUISTA - BA , GALÍCIA - BA,1526,911,12020.0
BAIANO SÉRIE B PROFISSIONAL,5,23,COLO COLO - BA , JACOBINA EC - BA,3000,345,4560.0
BAIANO SÉRIE B PROFISSIONAL,5,24,JUAZEIRO - BA , LEONICO - BA,410,38,380.0
BAIANO SÉRIE B PROFISSIONAL,5,25,GRAPIUNA - BA , FLUMINENSE DE FEIRA - BA,500,42,420.0
BAIANO SÉRIE B PROFISSIONAL,6,26,GALÍCIA - BA , JEQUIE - BA,500,112,2030.0
BAIANO SÉRIE B PROFISSIONAL,6,27,FLUMINENSE DE FEIRA - BA , COLO COLO - BA,4100,1175,24670.0
BAIANO SÉRIE B PROFISSIONAL,6,28,LEONICO - BA , VITÓRIA DA CONQUISTA - BA,200,89,1780.0
BAIANO SÉRIE B PROFISSIONAL,6,29,JACOBINA EC - BA , JUAZEIRO - BA,2184,717,14340.0
BAIANO SÉRIE B PROFISSIONAL,6,30,UNIRB - BA , GRAPIUNA - BA,500,46,460.0
BAIANO SÉRIE B PROFISSIONAL,7,31,VITÓRIA DA CONQUISTA - BA , FLUMINENSE DE FEIRA - BA DATA / HORA,700,475,5840.0
BAIANO SÉRIE B PROFISSIONAL,7,32,JUAZEIRO - BA , UNIRB - BA,310,60,600.0
BAIANO SÉRIE B PROFISSIONAL,7,33,JACOBINA EC - BA , GALÍCIA - BA,2184,582,11640.0
BAIANO SÉRIE B PROFISSIONAL,7,34,COLO COLO - BA , GRAPIUNA - BA,820,229,2900.0
BAIANO SÉRIE B PROFISSIONAL,7,35,JEQUIE - BA , LEONICO - BA,1808,422,8440.0
BAIANO SÉRIE B PROFISSIONAL,8,36,LEONICO - BA , JACOBINA EC - BA,200,66,1320.0
BAIANO SÉRIE B PROFISSIONAL,8,37,FLUMINENSE DE FEIRA - BA , GALÍCIA - BA,4020,1330,27180.0
BAIANO SÉRIE B PROFISSIONAL,8,38,JEQUIE - BA , JUAZEIRO - BA,2008,790,15800.0
BAIANO SÉRIE B PROFISSIONAL,8,39,UNIRB - BA , COLO COLO - BA,300,3,30.0
BAIANO SÉRIE B PROFISSIONAL,8,40,GRAPIUNA - BA , VITÓRIA DA CONQUISTA - BA,500,34,340.0
